ticker,company_name,sector_raw
MFFL,Mitchells Fruit Farms Limited,FOOD & PERSONAL CARE PRODUCTS
MFL,Matco Foods Limited,FOOD & PERSONAL CARE PRODUCTS
MFTM,Mohammad Farooq Textile Mills Limited,TEXTILE COMPOSITE
MIRKS,Mirpurkhas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
MLCF,Maple Leaf Cement Factory Limited,CEMENT
MLCFR1,Maple Leaf (R),
MODAM,Modaraba Al-Mali,
MODAMR1,MODARABA AL-MALI (R),MODARABAS
MOHE,Mohib Exports Limited,TEXTILE WEAVING
MOIL,Morafco Industries Limited,
MOON,Moonlite (Pak) Limited,WOOLLEN
MQTM,Maqbool Textile Mills Limited,TEXTILE SPINNING
MRNS,Mehran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
MSCL,Metropolitan Steel Corporation Limited,ENGINEERING
MSOT,Masood Textile Mills Limited,TEXTILE COMPOSITE
MSOTPS,Masood Textile (Pref),TEXTILE COMPOSITE
